Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year
JaVale McGee,mcgeeja01,DEN,175,-6.4,-0.3,-0.2,C,2021
Bol Bol,bolbo01,DEN,160,-3.8,-0.3,-0.1,PF,2021
Greg Whittington,whittgr01,DEN,12,-11.4,-5.7,0.0,PF,2021
Gary Clark,clarkga01,DEN,4,-4.4,-2.0,0.0,SF,2021
Joe Harris,harrijo01,BRK,2141,1.6,-1.2,1.3,SF,2021
Kyrie Irving,irvinky01,BRK,1886,5.7,-0.2,3.6,PG,2021
Jeff Green,greenje02,BRK,1835,0.0,-0.9,0.5,PF,2021
Bruce Brown,brownbr01,BRK,1451,-0.4,0.2,0.7,PG,2021
Landry Shamet,shamela01,BRK,1403,-0.9,-1.5,-0.2,SG,2021
James Harden,hardeja01,BRK,1319,6.4,1.3,3.2,PG,2021
DeAndre Jordan,jordade01,BRK,1246,0.1,1.0,0.9,C,2021
Kevin Durant,duranke01,BRK,1157,6.4,0.8,2.7,PF,2021
Timothé Luwawu-Cabarrot,luwawti01,BRK,1050,-3.2,-1.2,-0.6,SF,2021
Tyler Johnson,johnsty01,BRK,684,-2.4,-1.0,-0.2,SG,2021
Nic Claxton,claxtni01,BRK,594,-1.0,1.4,0.4,C,2021
Blake Griffin,griffbl01,BRK,560,0.5,0.3,0.4,PF,2021
Caris LeVert,leverca01,BRK,334,2.1,-0.6,0.3,SG,2021
Jarrett Allen,allenja01,BRK,320,1.7,0.9,0.4,C,2021
Mike James,jamesmi02,BRK,236,-2.1,-2.3,-0.1,PG,2021
Chris Chiozza,chiozch01,BRK,232,-0.1,-0.6,0.1,PG,2021
Taurean Prince,princta02,BRK,218,-2.2,0.1,0.0,PF,2021
Reggie Perry,perryre01,BRK,211,-5.3,-1.4,-0.2,PF,2021
Alize Johnson,johnsal02,BRK,189,2.7,0.0,0.2,PF,2021
LaMarcus Aldridge,aldrila01,BRK,130,0.1,2.1,0.1,C,2021
Spencer Dinwiddie,dinwisp01,BRK,64,-2.4,2.6,0.0,SG,2021
Andre Roberson,roberan03,BRK,63,-5.2,-0.9,-0.1,SG,2021
Norvel Pelle,pelleno01,BRK,28,-12.2,-0.8,-0.1,C,2021
Tyler Cook,cookty01,BRK,17,-5.2,-1.0,0.0,PF,2021
Rodions Kurucs,kurucro01,BRK,16,-0.8,0.8,0.0,PF,2021
Iman Shumpert,shumpim01,BRK,11,-10.4,-2.2,0.0,SG,2021
Noah Vonleh,vonleno01,BRK,11,-21.3,-5.0,-0.1,C,2021
Luka Dončić,doncilu01,DAL,2262,6.1,0.7,5.1,PG,2021
Tim Hardaway Jr.,hardati02,DAL,1985,2.0,-1.7,1.2,SG,2021
Dorian Finney-Smith,finnedo01,DAL,1921,0.2,0.0,1.0,PF,2021
Josh Richardson,richajo01,DAL,1790,-1.5,-0.2,0.1,SG,2021
Jalen Brunson,brunsja01,DAL,1697,1.5,-0.6,1.2,PG,2021
Maxi Kleber,klebima01,DAL,1341,-0.5,0.5,0.7,PF,2021
Kristaps Porziņģis,porzikr01,DAL,1327,3.0,-0.8,1.4,C,2021
Dwight Powell,poweldw01,DAL,966,-0.7,1.3,0.6,C,2021
Trey Burke,burketr01,DAL,911,-1.4,-0.4,0.0,PG,2021
Willie Cauley-Stein,caulewi01,DAL,906,-2.2,0.9,0.2,C,2021
James Johnson,johnsja01,DAL,504,-2.0,2.5,0.3,PF,2021
Josh Green,greenjo02,DAL,445,-3.7,0.1,-0.2,SG,2021
Nicolò Melli,mellini01,DAL,325,-2.3,-0.8,-0.1,PF,2021
Wes Iwundu,iwundwe01,DAL,288,-5.5,0.5,-0.2,SF,2021
Boban Marjanović,marjabo01,DAL,271,1.9,-2.6,0.1,C,2021
JJ Redick,redicjj01,DAL,147,-3.4,-2.6,-0.1,SG,2021
Nate Hinton,hintona01,DAL,93,-4.5,1.0,0.0,SG,2021
Tyler Bey,beyty01,DAL,71,-5.5,-3.9,-0.1,SF,2021
Tyrell Terry,terryty01,DAL,56,-7.5,2.6,0.0,PG,2021
Dwayne Bacon,bacondw01,ORL,1853,-3.7,-1.4,-1.5,SG,2021
Nikola Vučević,vucevni01,ORL,1500,5.5,0.4,3.0,C,2021
Terrence Ross,rosste01,ORL,1347,-1.4,-0.8,-0.1,SG,2021
Cole Anthony,anthoco01,ORL,1273,-1.9,-1.4,-0.4,PG,2021
Chuma Okeke,okekech01,ORL,1133,-1.9,0.5,0.1,PF,2021
James Ennis III,ennisja01,ORL,986,-1.9,-0.3,-0.1,SF,2021
Khem Birch,birchkh01,ORL,952,-1.7,0.1,0.1,C,2021
Chasson Randle,randlch01,ORL,837,-4.8,-1.1,-0.8,PG,2021
Michael Carter-Williams,cartemi01,ORL,800,-4.6,-0.2,-0.6,SG,2021
Evan Fournier,fournev01,ORL,787,2.3,-0.6,0.7,SF,2021
Aaron Gordon,gordoaa01,ORL,736,0.5,0.1,0.5,PF,2021
Mo Bamba,bambamo01,ORL,725,0.2,0.0,0.4,C,2021
R.J. Hampton,hamptrj01,ORL,655,-2.0,-1.3,-0.2,SG,2021
Gary Clark,clarkga01,ORL,637,-4.2,-0.7,-0.5,SF,2021
Wendell Carter Jr.,cartewe01,ORL,583,-0.8,-1.0,0.0,C,2021
Gary Harris,harriga01,ORL,499,-3.6,-2.2,-0.5,SG,2021
Al-Farouq Aminu,aminual01,ORL,367,-4.4,1.3,-0.1,PF,2021
Moritz Wagner,wagnemo01,ORL,286,-2.9,-1.2,-0.1,C,2021
Ignas Brazdeikis,brazdig01,ORL,234,-2.8,-2.0,-0.2,SF,2021
Markelle Fultz,fultzma01,ORL,215,-3.6,-0.9,-0.1,PG,2021
Jordan Bone,bonejo01,ORL,196,-3.0,-1.2,-0.1,PG,2021
Donta Hall,halldo01,ORL,179,0.9,0.6,0.2,PF,2021
Sindarius Thornwell,thornsi01,ORL,144,-5.5,1.1,-0.1,SG,2021
Robert Franks,frankro01,ORL,101,0.7,-0.8,0.0,PF,2021
Karim Mané,maneka01,ORL,88,-9.1,-0.8,-0.2,PG,2021
Frank Mason III,masonfr01,ORL,79,-5.2,-2.4,-0.1,PG,2021
Devin Cannady,cannade01,ORL,74,-4.0,1.0,0.0,PG,2021
Otto Porter Jr.,porteot01,ORL,66,-3.5,1.7,0.0,PF,2021
Dennis Schröder,schrode01,LAL,1956,-1.3,0.2,0.4,SG,2021
Kyle Kuzma,kuzmaky01,LAL,1954,-0.4,-0.1,0.8,SF,2021
Kentavious Caldwell-Pope,caldwke01,LAL,1902,-1.6,1.0,0.7,SG,2021
Montrezl Harrell,harremo01,LAL,1580,2.3,0.7,2.0,C,2021
LeBron James,jamesle01,LAL,1504,5.9,2.3,3.8,PG,2021
Talen Horton-Tucker,hortota01,LAL,1304,-2.6,1.5,0.3,SG,2021
Alex Caruso,carusal01,LAL,1216,-2.5,2.5,0.6,PG,2021
Markieff Morris,morrima02,LAL,1200,-2.9,0.3,-0.2,PF,2021
Anthony Davis,davisan02,LAL,1162,2.6,2.2,2.0,PF,2021
Wesley Matthews,matthwe02,LAL,1130,-3.1,1.4,0.1,SG,2021
Marc Gasol,gasolma01,LAL,993,-1.4,3.7,1.1,C,2021
Andre Drummond,drumman01,LAL,520,-2.7,1.0,0.0,C,2021
Ben McLemore,mclembe01,LAL,368,-1.6,-1.4,-0.1,SG,2021
Alfonzo McKinnie,mckinal01,LAL,258,0.3,-0.8,0.1,SF,2021
Damian Jones,jonesda03,LAL,112,-2.0,1.8,0.1,C,2021
Devontae Cacok,cacokde01,LAL,98,-1.5,0.4,0.0,PF,2021
Jared Dudley,dudleja01,LAL,81,-4.4,0.9,0.0,PF,2021
Quinn Cook,cookqu01,LAL,62,-0.3,-0.1,0.0,PG,2021
Kostas Antetokounmpo,antetko01,LAL,56,-13.3,0.8,-0.1,PF,2021
Julius Randle,randlju01,NYK,2667,2.9,0.9,3.9,PF,2021
