Player,Player-additional,Tm,Salary,Year
Jerami Grant,grantje01,DET,20002500,2022
Jarrett Allen,allenja01,CLE,20000000,2022
Domantas Sabonis,sabondo01,SAC,19800000,2022
Fred VanVleet,vanvlfr01,TOR,19675926,2022
Zach LaVine,lavinza01,CHI,19500000,2022
Bojan Bogdanović,bogdabo02,UTA,18700000,2022
Lonzo Ball,balllo01,CHI,18604651,2022
Clint Capela,capelca01,ATL,18603448,2022
Eric Gordon,gordoer01,HOU,18218818,2022
Eric Bledsoe,bledser01,LAC,18125000,2022
Myles Turner,turnemy01,IND,18000000,2022
Bogdan Bogdanović,bogdabo01,ATL,18000000,2022
Terry Rozier,roziete01,CHO,17905263,2022
Ricky Rubio,rubiori01,CLE,17800000,2022
Caris LeVert,leverca01,CLE,17500000,2022
Joe Harris,harrijo01,BRK,17357143,2022
Spencer Dinwiddie,dinwisp01,DAL,17142857,2022
Steven Adams,adamsst01,MEM,17073171,2022
Evan Fournier,fournev01,NYK,17000000,2022
Markelle Fultz,fultzma01,ORL,16500000,2022
Aaron Gordon,gordoaa01,DEN,16409091,2022
OG Anunoby,anunoog01,TOR,16071429,2022
Dāvis Bertāns,bertada01,DAL,16000000,2022
Gary Trent Jr.,trentga02,TOR,16000000,2022
Lauri Markkanen,markkla01,CLE,15690909,2022
